version,section,filename,function,offset,length,language
us,init,entrypoint,func_10001000,268439552,0,asm
us,init,entrypoint,func_10001000.NON_MATCHING,268439552,80,asm
us,init,init_1050,func_10001050,268439632,168,c
us,init,init_1050,func_100010F8,268439800,156,c
us,init,init_1050,func_10001194,268439956,0,asm
us,init,init_1050,func_10001194.NON_MATCHING,268439956,652,c
us,init,init_1420,func_10001420,268440608,0,asm
us,init,init_1420,func_10001420.NON_MATCHING,268440608,36,c
us,init,init_1420,func_10001444,268440644,92,c
us,init,init_1420,func_100014A0,268440736,36,c
us,init,init_1420,func_100014C4,268440772,140,c
us,init,init_1420,func_10001550.NON_MATCHING,268440912,0,c
us,init,init_1420,func_10001550,268440912,1184,asm
us,init,init_1420,func_100019F0,268442096,184,c
us,init,init_1420,func_10001AA8,268442280,0,asm
us,init,init_1420,func_10001AA8.NON_MATCHING,268442280,1480,c
us,init,init_2070,func_10002070,268443760,24,c
us,init,init_2070,func_10002088.NON_MATCHING,268443784,0,c
us,init,init_2070,func_10002088,268443784,72,asm
us,init,init_2070,func_100020D0,268443856,0,asm
us,init,init_2070,func_100020D0.NON_MATCHING,268443856,1608,c
us,init,init_2070,func_10002718,268445464,0,asm
us,init,init_2070,func_10002718.NON_MATCHING,268445464,896,c
us,init,init_2070,.L10002A98,268446360,740,c
us,init,init_2070,.L10002D7C,268447100,52,c
us,init,aisetnextbuf,osAiSetNextBuffer.NON_MATCHING,268447152,0,c
us,init,aisetnextbuf,osAiSetNextBuffer,268447152,160,asm
us,init,init_2E50,func_10002E50.NON_MATCHING,268447312,0,c
us,init,init_2E50,func_10002E50,268447312,156,asm
us,init,init_2E50,.L10002EEC,268447468,84,c
us,init,init_2E50,.L10002F40,268447552,52,c
us,init,init_2E50,.L10002F74,268447604,64,c
us,init,init_2E50,.L10002FB4,268447668,64,c
us,init,init_2E50,.L10002FF4,268447732,28,c
us,init,init_2E50,.L10003010,268447760,144,c
us,init,pimgr,osCreatePiManager,268447904,0,asm
us,init,pimgr,osCreatePiManager.NON_MATCHING,268447904,384,c
us,init,sptask,_VirtualToPhysicalTask.NON_MATCHING,268448288,0,c
us,init,sptask,_VirtualToPhysicalTask,268448288,272,asm
us,init,sptask,osSpTaskLoad,268448560,364,c
us,init,sptask,osSpTaskStartGo,268448924,68,c
us,init,vimgr,osCreateViManager.NON_MATCHING,268448992,0,asm
us,init,vimgr,osCreateViManager,268448992,376,asm
us,init,vimgr,viMgrMain.NON_MATCHING,268449368,0,asm
us,init,vimgr,viMgrMain,268449368,408,asm
us,init,createthread,osCreateThread,268449776,208,c
us,init,init_38C0,func_100038C0,268449984,32,c
us,init,init_38E0,func_100038E0.NON_MATCHING,268450016,0,c
us,init,init_38E0,func_100038E0,268450016,44,asm
us,init,init_38E0,func_1000390C,268450060,20,c
us,init,init_3920,func_10003920,268450080,16,c
us,init,init_3930,func_10003930,268450096,128,c
us,init,init_39B0,func_100039B0,268450224,16,c
us,init,init_39C0,func_100039C0,268450240,268,c
us,init,init_39C0,func_10003ACC,268450508,0,asm
us,init,init_39C0,func_10003ACC.NON_MATCHING,268450508,260,c
us,init,init_3BD0,func_10003BD0.NON_MATCHING,268450768,0,c
us,init,init_3BD0,func_10003BD0,268450768,112,asm
us,init,init_3C40,allocate_memory,268450880,44,c
us,init,init_3C40,func_10003C6C.NON_MATCHING,268450924,0,c
us,init,init_3C40,func_10003C6C,268450924,1032,asm
us,init,init_3C40,func_10004074.NON_MATCHING,268451956,0,c
us,init,init_3C40,func_10004074,268451956,476,asm
us,init,init_3C40,func_10004250,268452432,184,c
us,init,init_3C40,func_10004308,268452616,172,c
us,init,init_3C40,func_100043B4,268452788,0,asm
us,init,init_3C40,func_100043B4.NON_MATCHING,268452788,88,c
us,init,init_3C40,func_1000440C,268452876,100,c
us,init,init_4470,func_10004470,268452976,164,c
us,init,init_4470,func_10004514,268453140,352,c
us,init,init_4470,func_10004674,268453492,112,c
us,init,init_4470,func_100046E4,268453604,0,asm
us,init,init_4470,func_100046E4.NON_MATCHING,268453604,296,c
us,init,init_4470,func_1000480C,268453900,0,asm
us,init,init_4470,func_1000480C.NON_MATCHING,268453900,468,c
us,init,init_49E0,func_100049E0,268454368,0,asm
us,init,init_49E0,func_100049E0.NON_MATCHING,268454368,144,c
us,init,init_49E0,.L10004A70,268454512,60,c
us,init,init_49E0,.L10004AAC,268454572,320,c
us,init,init_49E0,.L10004BEC,268454892,244,c
us,init,init_49E0,.L10004CE0,268455136,36,c
us,init,init_49E0,.L10004D04,268455172,72,c
us,init,init_49E0,.L10004D4C,268455244,100,c
us,init,init_49E0,func_10004DB0.NON_MATCHING,268455344,0,c
us,init,init_49E0,func_10004DB0,268455344,336,asm
us,init,init_49E0,func_10004F00,268455680,224,c
us,init,init_49E0,func_10004FE0,268455904,64,c
us,init,init_49E0,func_10005020,268455968,128,c
us,init,init_50A0,func_100050A0,268456096,296,c
us,init,init_50A0,func_100051C8,268456392,32,c
us,init,init_50A0,func_100051E8,268456424,48,c
us,init,init_50A0,func_10005218,268456472,128,c
us,init,init_50A0,func_10005298,268456600,8,c
us,init,init_50A0,func_100052A0,268456608,0,asm
us,init,init_50A0,func_100052A0.NON_MATCHING,268456608,720,c
us,init,motor,osMotorStop,268457328,0,asm
us,init,motor,osMotorStop.NON_MATCHING,268457328,304,asm
us,init,motor,osMotorStart.NON_MATCHING,268457632,0,asm
us,init,motor,osMotorStart,268457632,320,asm
us,init,motor,_MakeMotorData.NON_MATCHING,268457952,0,asm
us,init,motor,_MakeMotorData,268457952,360,asm
us,init,motor,osMotorInit,268458312,0,asm
us,init,motor,osMotorInit.NON_MATCHING,268458312,360,asm
us,init,init_5AB0,func_10005AB0,268458672,0,asm
us,init,init_5AB0,func_10005AB0.NON_MATCHING,268458672,84,asm
us,init,init_5AB0,func_10005B04.NON_MATCHING,268458756,0,asm
us,init,init_5AB0,func_10005B04,268458756,220,asm
us,init,init_5AB0,func_10005BE0.NON_MATCHING,268458976,0,asm
us,init,init_5AB0,func_10005BE0,268458976,76,asm
us,init,init_5AB0,func_10005C2C,268459052,0,asm
us,init,init_5AB0,func_10005C2C.NON_MATCHING,268459052,1484,asm
us,init,init_5AB0,func_100061F8,268460536,0,asm
us,init,init_5AB0,func_100061F8.NON_MATCHING,268460536,72,asm
us,init,init_5AB0,func_10006240.NON_MATCHING,268460608,0,asm
